Attribute	Label	Weight
word.prefix3:Lam	B-PER	2.279458
word.prefix2:Co	B-PER	2.279057
word.prefix3:Zuu	B-LOC	2.277233
word.lower():pait	B-PER	2.27493
word.prefix2:Ca	B-PER	2.267081
word.prefix2:po	I-LOC	2.265689
word.lower():hannover	B-LOC	2.262389
word.lower():rages	I-LOC	2.260431
word.prefix3:Jaa	B-PER	2.260214
next_word.lower():haar	I-PER	2.257078
word.lower():stientje	I-PER	2.255749
word.suffix3:ike	O	2.250587
word.lower():gruine	O	2.246187
word.suffix3:ges	I-LOC	2.245566
word.prefix3:Zun	B-MISC	2.244758
word.prefix3:Gee	B-PER	2.244423
next_word.lower():olympisch	B-LOC	2.233807
word.prefix3:Rag	I-LOC	2.228719
word.suffix2:fs	B-PER	2.228362
bos	B-PER	2.226368
prev_word.lower():hoogeland	I-LOC	2.225909
word.suffix2:um	B-LOC	2.223258
word.suffix3:eon	B-PER	2.221209
word.wordshape():xxxxxxxxx	O	2.219842
word.prefix3:Eer	O	2.218852
word.lower():maarten	B-PER	2.21028
word.lower():ammerikaonen	B-MISC	2.209974
word.prefix3:amm	B-MISC	2.209974
word.suffix3:ger	B-MISC	2.209691
word.prefix3:Sie	B-PER	2.207234
word.prefix2:Ja	B-PER	2.201891
prev_word.lower():god	O	2.200254
next_word.lower():nait	B-ORG	2.197034
word.lower():aoljaorsnaacht	B-MISC	2.196619
prev_word.lower():bakker	B-PER	2.195539
word.wordshape():xxxxxxxx	O	2.183315
word.lower():swinters	B-MISC	2.178732
word.suffix3:aip	B-LOC	2.177069
word.isupper()	B-PER	2.176273
next_word.lower():ronddrieven	I-LOC	2.172805
word.istitle()	B-LOC	2.168558
word.prefix3:Juf	O	2.168433
word.lower():ostara	B-MISC	2.167638
word.prefix3:Ost	B-MISC	2.167638
word.prefix2:Os	B-MISC	2.167638
word.lower():aalbert	B-PER	2.165505
word.prefix2:Zu	B-LOC	2.156174
next_word.lower():winschoterdaip	B-LOC	2.1518
next_word.lower():keek	B-PER	2.142735
word.lower():grote	B-ORG	2.13974
word.suffix3:nie	B-ORG	2.130355
word.lower():waoterschap	B-ORG	2.129701
next_word.lower():proaten	B-MISC	2.125198
