Attribute	Label	Weight
word.lower():nederland	B-LOC	0.921819
next_word.lower():tou	B-LOC	0.921702
prev_word.lower():heer	B-PER	0.921596
word.suffix2:im	B-ORG	0.921548
word.prefix3:Lut	O	0.921294
prev_word.lower():richting	B-LOC	0.920199
word.lower():lorelei	B-PER	0.920089
word.prefix3:Lor	B-PER	0.920089
prev_word.lower():knaolster	B-PER	0.920089
word.lower():tonko	B-PER	0.919348
word.suffix3:nko	B-PER	0.919348
word.prefix3:Ton	B-PER	0.919348
prev_word.lower():teis	B-LOC	0.918775
word.prefix3:Bie	B-PER	0.918768
word.lower():magelone	B-PER	0.918756
word.suffix2:ns	B-MISC	0.918724
word.suffix3:lei	B-PER	0.918278
prev_word.lower():kouers	I-MISC	0.918221
prev_word.istitle()	I-PER	0.918048
word.prefix3:Met	B-MISC	0.917966
word.lower():ommelanden	I-LOC	0.917238
word.prefix3:Too	O	0.916837
word.lower():winkel	O	0.916201
word.wordshape():Xxxxxxxxxxxxxx	I-LOC	0.916123
prev_word.lower():schone	B-PER	0.915962
prev_word.punct	O	0.915656
word.lower():tobias	B-PER	0.913549
word.prefix3:Pri	B-PER	0.912707
word.prefix3:Omm	I-LOC	0.912122
word.lower():juffrouw	O	0.9117
word.suffix3:tje	B-PER	0.911203
word.prefix3:zeu	B-MISC	0.910763
word.lower():boukjes	B-PER	0.910444
word.suffix2:'s	B-PER	0.90917
word.prefix2:Zw	B-PER	0.907989
word.lower():tillen	B-PER	0.90701
word.prefix2:ko	O	0.906772
next_word.lower():doar	B-LOC	0.906441
word.lower():engelschleeren	B-MISC	0.906422
next_word.lower():mosker	B-MISC	0.906422
word.prefix3:vie	B-MISC	0.906208
word.suffix3:rie	B-PER	0.905382
prev_word.lower():des	I-MISC	0.905189
word.suffix2:ee	O	0.905169
word.suffix2:ra	B-ORG	0.904808
word.lower():börgshof	B-LOC	0.904561
word.prefix3:Roz	B-PER	0.903959
prev_word.lower():bie	B-LOC	0.903867
next_word.lower():pott	B-PER	0.903222
word.lower():geszler	B-PER	0.903008
prev_word.lower():vermoordde	B-PER	0.903008
next_word.lower():doagen	O	0.902939
word.prefix3:Aan	B-PER	0.902898
word.lower():bemerweg	B-LOC	0.901357
word.prefix3:Bem	B-LOC	0.901357
word.lower():platduutse	B-MISC	0.90013
word.lower():etjemui	B-PER	0.899353
word.prefix3:Etj	B-PER	0.899353
word.lower():mozes	I-MISC	0.899306
word.lower():aantje	B-PER	0.898985
word.suffix3:mui	B-PER	0.897219
next_word.lower():jongeskweekschoul	B-ORG	0.896082
word.lower():zoaterdagmörgen	B-MISC	0.894168
prev_word.lower():elymas	I-PER	0.893704
next_word.lower():achikar	I-PER	0.893704
word.prefix3:Zui	I-LOC	0.893701
word.lower():tegen	O	0.893455
word.suffix3:eks	B-PER	0.893314
word.prefix2:Ri	I-MISC	0.893077
word.lower():engel	B-PER	0.893027
word.lower():november	B-MISC	0.892987
word.prefix3:Nov	B-MISC	0.892987
word.lower():kraacht	O	0.892602
word.lower():maark	I-LOC	0.892424
prev_word.lower():grode	I-LOC	0.892335
next_word.lower():mouders	B-PER	0.89222
next_word.lower():'t	B-ORG	0.8919
word.suffix2:le	O	0.89146
word.suffix3:uud	B-PER	0.891399
word.prefix2:Is	B-MISC	0.891359
next_word.lower():veurbie	B-LOC	0.891341
word.lower():union	B-LOC	0.89098
word.prefix3:Uni	B-LOC	0.89098
prev_word.lower():aigenste	B-PER	0.890947
word.lower():stientjes	B-PER	0.890765
word.lower():roege	B-LOC	0.89047
word.lower():oosterpaarker	B-MISC	0.890355
word.lower():coulaincourt	B-PER	0.890157
word.prefix3:Cou	B-PER	0.890157
word.prefix3:Bin	O	0.890131
word.wordshape():xxxxxxx	I-MISC	0.890099
word.prefix3:Haa	B-PER	0.889896
word.suffix3:zes	I-MISC	0.889121
prev_word.lower():n	B-ORG	0.888649
word.suffix3:pte	B-LOC	0.888341
word.prefix2:Un	B-LOC	0.887599
prev_word.lower():zunder	B-PER	0.886518
prev_word.lower():echte	B-MISC	0.88618
word.prefix3:Bli	B-LOC	0.885666
word.wordshape():xxx	B-PER	0.885504
word.lower():ais	B-PER	0.884872
prev_word.lower():west	I-LOC	0.884429
word.wordshape():xxxxxxxxxxx	B-ORG	0.884344
word.suffix3:oek	B-PER	0.883156
word.lower():snieder	I-PER	0.883129
word.prefix2:Ge	O	0.88312
next_word.lower():preek	B-MISC	0.882586
next_word.lower():w.	B-PER	0.882371
word.lower():munnikediek	B-LOC	0.882071
word.suffix3:goa	I-PER	0.881903
word.prefix2:me	B-ORG	0.88174
word.wordshape():Xx.	O	0.880852
word.prefix3:Wai	B-MISC	0.880679
prev_word.lower():sint	I-LOC	0.880606
prev_word.lower():stichting	I-ORG	0.880436
word.wordshape():Xx	B-ORG	0.88035
next_word.lower():klopte	B-PER	0.880104
word.lower():ananja	B-PER	0.880026
word.suffix3:nja	B-PER	0.880026
word.prefix3:Ana	B-PER	0.880026
word.suffix3:oie	O	0.879661
word.suffix3:ske	B-MISC	0.879444
word.prefix3:Zwi	B-PER	0.878309
next_word.lower():het	I-MISC	0.877397
word.prefix2:Sa	I-LOC	0.87694
word.lower():streekje	I-LOC	0.876176
word.prefix3:Beu	B-MISC	0.875561
prev_word.lower():zang	I-ORG	0.875382
prev_word.lower()::	O	0.875124
word.suffix2:rt	B-PER	0.874914
word.prefix3:Soa	O	0.874834
word.suffix3:oud	O	0.874591
next_word.lower():vriendschap	I-ORG	0.874535
word.prefix3:Moz	I-MISC	0.873271
word.lower():derkie	B-PER	0.872861
word.lower():honderd	O	0.871961
word.prefix2:Mu	B-LOC	0.871808
word.suffix2:em	B-LOC	0.871239
word.lower():trientje	B-PER	0.870013
word.suffix3:vet	B-PER	0.866857
word.lower():geeske	B-PER	0.866378
word.lower():grunnen	I-LOC	0.865817
word.lower():chinees	B-MISC	0.864687
word.prefix3:Chi	B-MISC	0.864687
word.prefix3:Pee	O	0.864023
next_word.isupper()	B-PER	0.863899
word.prefix3:AIN	B-PER	0.86374
word.lower():vatjevet	B-PER	0.863458
prev_word.lower():,	B-LOC	0.863443
word.suffix2:nn	O	0.86219
word.suffix3:urt	B-LOC	0.862003
word.wordshape():Xxxxxxxx	B-PER	0.861847
prev_word.lower():g	I-PER	0.861433
word.prefix3:Kom	O	0.861323
word.prefix3:Pek	B-LOC	0.861235
word.prefix2:Ri	B-PER	0.861213
next_word.lower():te	O	0.86017
word.suffix2:ut	B-PER	0.860065
word.suffix3:ouk	B-LOC	0.859546
word.lower():okken	I-PER	0.85941
prev_word.lower():haas	I-PER	0.85941
next_word.lower():zoo	O	0.859197
word.lower():spraok	O	0.859151
word.lower():grun'ger	B-MISC	0.859095
word.wordshape():Xxxx'xxx	B-MISC	0.859095
prev_word.lower():'r	B-PER	0.858569
prev_word.lower():,	I-PER	0.858502
prev_word.lower():lammert	O	0.858036
next_word.lower():mie	I-MISC	0.857856
word.lower():bie	O	0.857029
word.prefix2:Su	B-PER	0.856027
prev_word.lower():vergangen	B-MISC	0.855879
word.lower():zwoantje	B-PER	0.855766
word.suffix3:rts	B-PER	0.855764
word.prefix3:Kre	B-MISC	0.854634
word.prefix3:Pla	B-MISC	0.85436
word.suffix3:ier	O	0.853631
word.suffix3:igt	O	0.853426
word.suffix3:ost	I-LOC	0.853378
word.lower():paoskvuur	O	0.852989
word.prefix2:Kl	B-PER	0.852803
word.lower():was	O	0.852434
word.lower():westen	I-LOC	0.85237
word.lower():stichting	B-ORG	0.852236
prev_word.lower():joar	B-MISC	0.852203
word.lower():vrijhaidsloanen	I-LOC	0.851895
word.lower():juli	O	0.851515
word.suffix3:uli	O	0.851515
word.suffix3:rig	O	0.851143
word.prefix2:Om	I-LOC	0.851132
word.lower():is	O	0.850551
word.suffix3:ers	B-PER	0.850282
word.lower():gennésaret	B-LOC	0.849947
word.prefix3:Gen	B-LOC	0.849947
next_word.lower():haarm	O	0.84939
word.suffix3:ret	B-LOC	0.848792
next_word.lower():stad	I-MISC	0.848385
word.suffix2:ol	O	0.847391
word.prefix3:Fre	B-PER	0.847277
word.prefix2:pr	O	0.846769
word.suffix2:el	B-LOC	0.846299
word.lower():grönnensch	B-MISC	0.846228
prev_word.lower():begun	O	0.845796
prev_word.lower():recht	I-LOC	0.844972
word.prefix3:Jai	O	0.844918
word.prefix2:on	O	0.844467
prev_word.lower():drijoogje	O	0.844429
word.wordshape():X	O	0.843977
word.suffix3:iek	I-MISC	0.843704
word.suffix3:auw	B-PER	0.843679
prev_word.lower():noa	B-LOC	0.843202
word.prefix3:Hoa	B-LOC	0.842567
word.lower():pzn.	I-PER	0.842446
word.suffix3:zn.	I-PER	0.842446
next_word.lower():vaal	I-MISC	0.842065
word.prefix2:Ha	I-LOC	0.841956
prev_word.lower():bonte	I-MISC	0.841876
word.prefix2:Pl	B-MISC	0.841568
word.prefix3:Spi	B-LOC	0.841319
word.lower():malbroek	B-PER	0.840993
word.prefix3:Pro	B-LOC	0.839551
word.prefix2:Wa	B-LOC	0.838962
word.lower():meester	B-PER	0.838916
word.prefix3:Ach	B-LOC	0.83835
word.lower():landschap	I-LOC	0.838121
word.suffix2:er	B-MISC	0.837613
word.prefix2:ne	B-MISC	0.836774
prev_word.lower():aan	B-LOC	0.836586
word.wordshape():XXXXXXX	B-PER	0.835934
word.suffix3:del	I-PER	0.835541
word.wordshape():xxxxxx	I-MISC	0.835352
word.lower():corrie	B-PER	0.834924
word.prefix3:Cor	B-PER	0.834924
word.prefix3:Mou	B-LOC	0.834671
word.suffix2:ze	I-MISC	0.834555
word.prefix2:Ri	B-MISC	0.834254
word.lower():brug	I-MISC	0.834065
word.lower():waterloo	B-LOC	0.833627
word.suffix3:loo	B-LOC	0.833627
prev_word.lower():naar	B-LOC	0.833627
next_word.lower():spraok	I-ORG	0.832724
word.prefix2:El	B-PER	0.832537
word.isupper()	B-MISC	0.830945
word.lower():jurrien	B-PER	0.830824
prev_word.lower():25	I-MISC	0.830374
word.prefix3:Ros	B-MISC	0.830096
word.prefix2:Oo	B-MISC	0.829683
next_word.lower():kraacht	O	0.829186
word.suffix3:ost	B-LOC	0.827967
prev_word.lower():mie	B-PER	0.826844
word.suffix2:ui	B-PER	0.826688
word.lower():börgerpaark	B-LOC	0.82657
next_word.lower():westen	B-LOC	0.826486
prev_word.lower():ôlle	B-LOC	0.826448
word.suffix3:aok	O	0.825397
word.lower():marne	B-LOC	0.824455
next_word.lower():poort	B-MISC	0.824208
prev_word.lower():bobbel	I-PER	0.824058
word.suffix2:we	B-PER	0.823036
word.prefix3:Wit	B-PER	0.821296
word.suffix3:rne	B-LOC	0.82028
next_word.lower():stilte	I-LOC	0.819424
next_word.lower():de	I-MISC	0.819157
word.suffix3:nje	B-PER	0.818891
word.suffix2:an	I-PER	0.818784
word.prefix2:mo	O	0.818521
word.wordshape():Xxx.	I-PER	0.818047
word.lower():bonte	B-MISC	0.817568
prev_word.lower():28ste	I-MISC	0.81697
next_word.lower():zong	I-PER	0.816417
word.lower():achterhouk	B-LOC	0.815178
word.suffix3:tig	B-MISC	0.81505
word.prefix3:Zan	B-LOC	0.814794
next_word.lower():goan	I-LOC	0.814659
word.lower():astrakan	B-MISC	0.814148
next_word.lower():muts	B-MISC	0.81399
next_word.istitle()	B-MISC	0.813569
word.suffix3:ees	B-MISC	0.812965
word.prefix2:Po	B-MISC	0.812842
next_word.lower():brug	B-MISC	0.812459
word.lower():geert	I-PER	0.812222
word.lower():klontjes	O	0.811829
next_word.lower():wat	O	0.8098
word.suffix3:kan	B-MISC	0.809551
next_word.lower():krigt	B-PER	0.809153
word.prefix2:Gr	I-ORG	0.808904
word.suffix2:n.	I-PER	0.808815
word.lower():parijs	B-LOC	0.807953
next_word.lower():noord	B-LOC	0.807511
word.lower():laan	I-PER	0.807302
next_word.lower():inlaaiden	I-PER	0.807302
word.lower():stainen	B-MISC	0.807283
word.lower():ainoogje	B-PER	0.806222
word.prefix2:Pi	B-MISC	0.806215
word.prefix3:deu	I-PER	0.806086
word.lower():l.	O	0.805444
word.suffix3:eul	O	0.804793
word.lower():colijn	B-PER	0.803781
word.prefix3:Col	B-PER	0.803781
word.lower():sodom	B-PER	0.803501
word.prefix3:Sod	B-PER	0.803501
word.lower():meertmoand	O	0.803473
word.suffix3:urn	B-PER	0.802894
word.lower():haard	O	0.80278
next_word.lower():aaltied	B-PER	0.802742
word.prefix3:aov	I-MISC	0.801252
word.prefix2:'N	O	0.800599
word.lower():aovend	I-MISC	0.799635
word.suffix3:lie	B-MISC	0.799619
prev_word.lower():mouder	B-PER	0.798627
word.prefix2:Bo	I-PER	0.798095
prev_word.lower():kookt	B-MISC	0.797483
word.lower():bovenpekel	B-LOC	0.796988
next_word.lower():masten	O	0.796882
word.prefix3:Fiv	B-MISC	0.796693
next_word.lower():zulf	O	0.796494
word.lower():zoltkaamper	B-MISC	0.795936
word.prefix3:VER	O	0.795359
word.prefix2:VE	O	0.795359
word.lower():köster	B-PER	0.79531
word.prefix3:Kös	B-PER	0.79531
word.lower():beloaden	O	0.794797
word.lower():d’christenunie	B-ORG	0.794349
word.wordshape():x’XxxxxxxxXxxx	B-ORG	0.794349
word.prefix3:d’C	B-ORG	0.794349
word.suffix2:al	B-LOC	0.794027
next_word.lower():op	B-MISC	0.793951
word.prefix3:Sli	B-ORG	0.79371
word.lower():sidon	B-PER	0.792695
word.prefix3:Sid	B-PER	0.792695
word.prefix2:aa	O	0.792326
next_word.lower():hom	I-MISC	0.791682
word.prefix3:Isr	B-LOC	0.791547
word.prefix3:wot	I-ORG	0.791483
prev_word.lower():h.	I-PER	0.790894
word.prefix3:fra	B-MISC	0.790683
word.lower():wotterstofeconomie	I-ORG	0.790369
word.wordshape():Xxxxxxxxxxxx	B-LOC	0.790281
word.lower():kolk	B-PER	0.789763
word.prefix3:Vat	B-PER	0.789661
word.lower():oogezaand	B-LOC	0.789209
word.lower():neijoars	B-MISC	0.789174
word.prefix3:NEI	B-MISC	0.789174
word.prefix2:NE	B-MISC	0.789174
word.wordshape():xxxxxxxxxxxxxxxxxx	I-ORG	0.789041
word.prefix2:Ni	B-MISC	0.788916
word.suffix3:L.	O	0.788857
word.prefix3:L.	O	0.788857
word.prefix2:L.	O	0.788857
word.lower():jaizes	O	0.788233
word.prefix2:Bi	B-PER	0.788097
word.prefix3:Ver	I-ORG	0.78782
word.prefix3:Uut	O	0.787557
word.prefix2:Uu	O	0.787557
word.prefix3:Man	O	0.787552
word.suffix2:ke	B-PER	0.787447
word.prefix2:Go	B-MISC	0.787336
word.suffix3:one	B-MISC	0.78717
prev_word.lower():gode	O	0.786573
prev_word.lower():dörp	B-LOC	0.786163
word.prefix2:fr	B-MISC	0.786133
prev_word.lower():'n	O	0.784714
word.suffix3:rom	O	0.784341
word.lower():graitje	B-PER	0.784156
next_word.lower():helpt	O	0.784047
next_word.lower():streekje	B-LOC	0.783586
prev_word.lower():zellen	B-PER	0.783136
word.prefix2:Et	B-PER	0.783062
word.suffix3:uus	O	0.783016
word.prefix2:En	B-MISC	0.782192
word.prefix2:Op	B-MISC	0.782105
next_word.lower():weer	B-MISC	0.781562
word.lower():der	B-PER	0.781554
word.lower():loots	B-PER	0.781277
word.lower():chaumont	B-LOC	0.780986
word.prefix3:Cha	B-LOC	0.780986
word.lower():lewe	B-PER	0.780592
word.suffix3:ewe	B-PER	0.780592
word.prefix3:Lew	B-PER	0.780592
next_word.lower():verankerd	I-LOC	0.780139
word.lower():barnstörp	B-LOC	0.779335
word.suffix3:ont	B-LOC	0.778973
word.prefix2:we	B-MISC	0.778375
word.prefix3:bru	I-MISC	0.778205
next_word.lower():bennink	B-PER	0.777101
next_word.lower():beukemoa	B-PER	0.776193
word.suffix2:oa	B-LOC	0.775873
word.prefix3:Dai	B-PER	0.775582
next_word.lower():luip	B-PER	0.774093
word.prefix2:Wa	I-LOC	0.77366
word.lower():neijoar	B-MISC	0.773344
word.suffix3:ege	B-LOC	0.772987
word.lower():stad	B-PER	0.7729
word.suffix3:rde	I-LOC	0.772514
word.prefix3:Dam	I-PER	0.772171
word.prefix3:Ast	B-MISC	0.771903
word.prefix2:Br	B-ORG	0.77045
word.lower():neivoor	B-LOC	0.770378
word.suffix3:her	B-PER	0.77037
word.lower():brannenbörger	B-LOC	0.769146
prev_word.lower():kwam	B-LOC	0.76889
word.suffix3:A.	I-PER	0.768818
word.suffix2:A.	I-PER	0.768818
word.prefix3:A.	I-PER	0.768818
word.prefix2:A.	I-PER	0.768818
next_word.lower():poorde	B-LOC	0.768547
word.lower():a.	I-PER	0.768181
word.prefix2:ao	I-MISC	0.766867
next_word.lower():d.	O	0.765444
word.prefix2:Sw	B-MISC	0.765116
prev_word.lower():'	O	0.765064
word.lower():hoan	O	0.764661
word.lower():poelier	O	0.7643
word.lower():maiden	B-LOC	0.763921
word.suffix2:ek	I-MISC	0.76282
word.lower():polderwegen	I-LOC	0.762698
prev_word.lower():oldambster	I-LOC	0.762698
word.prefix2:Vl	O	0.762449
word.prefix2:Tj	B-MISC	0.762316
word.suffix3:SKE	O	0.761874
word.prefix3:Wee	O	0.761853
word.lower():rooie	O	0.761725
word.lower():vrijdag	I-MISC	0.761687
word.prefix2:Ka	B-PER	0.761395
next_word.lower():1922	O	0.761194
word.lower():stil	O	0.761174
word.prefix3:Her	B-PER	0.760938
word.wordshape():Xxxxxxxx	I-PER	0.760897
word.prefix2:Sl	B-ORG	0.760676
word.prefix3:Der	B-PER	0.760438
next_word.lower():stait	B-ORG	0.760355
word.prefix2:re	O	0.759959
word.suffix3:D.	O	0.758927
word.suffix2:D.	O	0.758927
word.prefix3:D.	O	0.758927
word.prefix2:D.	O	0.758927
next_word.lower():laan	I-PER	0.758877
word.lower():pott	I-PER	0.758874
word.suffix3:ott	I-PER	0.758874
word.lower():verske	O	0.757981
word.lower():d’grunneger	B-MISC	0.757775
word.wordshape():x’Xxxxxxxxx	B-MISC	0.757775
prev_word.lower():rooie	O	0.757599
word.lower():penningmeester	O	0.756739
next_word.lower():glad	O	0.756549
word.lower():paoskedaogen	B-MISC	0.756479
word.prefix3:Lan	O	0.75611
word.prefix2:Gi	B-PER	0.7561
word.suffix3:ane	B-LOC	0.755001
word.suffix3:oes	B-PER	0.754776
word.prefix3:Han	B-LOC	0.754623
next_word.lower():volk	O	0.754362
next_word.lower():hemelriek	B-LOC	0.753644
next_word.lower():knieperdies	O	0.75325
word.lower():duutscher	B-MISC	0.751499
word.lower():land	O	0.751077
word.suffix3:ren	I-PER	0.75076
word.prefix2:Ol	I-LOC	0.750077
next_word.lower():koamer	B-MISC	0.749968
word.lower():lina	B-PER	0.749216
word.suffix3:ina	B-PER	0.749216
word.prefix3:Lin	B-PER	0.749216
prev_word.lower():voader	I-PER	0.748809
word.prefix2:Vi	B-MISC	0.748723
word.suffix3:mie	I-ORG	0.748552
word.suffix3:rug	I-MISC	0.748335
word.lower():vleugje	O	0.747722
word.suffix3:tad	I-MISC	0.747416
word.prefix3:Sti	I-PER	0.747161
prev_word.lower():in	I-PER	0.746977
word.lower():jao	O	0.746919
word.suffix3:ail	O	0.746036
word.suffix2:ch	B-MISC	0.745659
word.lower():eksellentie	O	0.744611
prev_word.lower():waren	B-PER	0.744574
next_word.lower():hadde	B-LOC	0.744164
next_word.lower():dochde	B-PER	0.744012
word.lower():noodzaokleke	O	0.74398
next_word.lower():peerdewaark	O	0.74398
word.prefix2:Li	B-PER	0.743973
word.prefix3:Pen	O	0.743827
word.wordshape():Xxxxxxxxxxxx	I-MISC	0.743533
word.prefix3:Lop	B-MISC	0.741782
word.prefix3:Lij	B-PER	0.740649
word.prefix3:Roe	O	0.740264
word.suffix2:at	I-LOC	0.740193
next_word.lower():gooi	B-LOC	0.738949
word.lower():noord	I-LOC	0.73831
word.lower():steernbosk	B-LOC	0.737965
word.lower():gooi	I-LOC	0.737693
word.lower():jaan	B-PER	0.73767
word.suffix3:osk	B-LOC	0.737632
word.prefix3:Rai	O	0.737554
word.prefix3:Goo	I-LOC	0.736411
word.prefix2:De	B-MISC	0.736083
word.suffix2:tt	I-PER	0.735162
word.prefix3:Ale	O	0.734804
word.lower():engelmeu	B-PER	0.734614
word.suffix3:meu	B-PER	0.734614
word.lower():poepie	B-PER	0.734107
word.lower():tweidonkern	I-MISC	0.733327
word.istitle()	I-LOC	0.733035
word.lower():galileër	B-MISC	0.732783
word.prefix3:Laa	I-PER	0.732304
word.prefix2:On	O	0.7311
word.suffix3:mer	I-MISC	0.731041
word.suffix3:Jao	O	0.730718
word.prefix3:Jao	O	0.730718
word.lower():paulsborg	B-LOC	0.730423
word.suffix3:'N	O	0.730162
word.suffix2:'N	O	0.730162
word.prefix3:'N	O	0.730162
next_word.lower():hoan	O	0.729766
word.suffix2:es	I-MISC	0.729704
word.suffix2:ao	B-PER	0.72931
word.prefix3:Mit	O	0.728815
word.suffix3:ion	B-LOC	0.728705
word.prefix3:Sto	B-PER	0.728536
word.prefix3:Dun	O	0.727768
word.lower():kammeroad	O	0.727591
word.lower():koudaipsloane	B-LOC	0.726538
word.lower():kok	I-PER	0.726265
word.suffix3:Kok	I-PER	0.726265
prev_word.lower():jurrie	I-PER	0.726265
word.suffix3:eër	B-MISC	0.725841
word.suffix2:ër	B-MISC	0.725841
prev_word.lower():d'	I-MISC	0.724788
word.lower():sproak	I-MISC	0.724184
prev_word.istitle()	I-ORG	0.724087
next_word.lower():wordt	B-LOC	0.723624
word.suffix3:aël	B-LOC	0.722758
prev_word.lower():trouwe	O	0.722551
word.prefix2:ve	B-MISC	0.72201
next_word.lower():vrijhaidsloanen	I-LOC	0.721952
word.prefix3:Faa	B-LOC	0.721724
prev_word.lower():engelsche	I-MISC	0.720428
word.prefix3:Maa	I-LOC	0.720356
word.prefix3:Pot	B-PER	0.720265
word.suffix3:aok	I-ORG	0.720168
word.prefix3:Pel	B-ORG	0.719906
word.lower():peerd	O	0.719723
prev_word.lower():'t	I-MISC	0.719333
word.lower():pelitie	B-ORG	0.718636
next_word.lower():rak	I-LOC	0.71813
word.lower():spraok	I-ORG	0.718045
prev_word.lower():'t 	I-LOC	0.717843
word.suffix2:rg	B-LOC	0.717469
word.lower():catz	B-PER	0.71671
word.suffix3:atz	B-PER	0.71671
word.prefix3:Cat	B-PER	0.71671
word.suffix2:sk	B-LOC	0.716545
word.lower():hinderk	B-PER	0.71638
word.lower():oaltje	B-PER	0.715745
word.prefix3:Oal	B-PER	0.715745
word.lower():zoltkamper	I-LOC	0.715169
word.suffix3:mke	B-PER	0.714334
next_word.lower():mariao	B-MISC	0.713998
word.lower():bethsaïdoa	B-LOC	0.713511
word.prefix3:Bet	B-LOC	0.713511
word.lower():stad	I-MISC	0.712928
next_word.lower():zowat	B-ORG	0.712604
prev_word.lower():achter	B-LOC	0.71235
word.prefix2:br	I-MISC	0.711812
word.lower():dorestein	B-LOC	0.711536
word.prefix3:Dor	B-LOC	0.711536
word.suffix3:aan	O	0.711204
word.lower():daar	O	0.711187
word.lower():d.	O	0.710605
prev_word.lower():hail	B-MISC	0.710324
word.prefix3:Sjo	B-PER	0.709396
word.prefix2:Sj	B-PER	0.709396
word.lower():d’biebelse	B-MISC	0.709247
word.wordshape():x’Xxxxxxxx	B-MISC	0.709247
word.prefix3:d’B	B-MISC	0.709247
next_word.lower():opdracht	B-MISC	0.709114
word.lower():gods	B-PER	0.708894
word.suffix3:ods	B-PER	0.708894
prev_word.lower():ol	B-MISC	0.708231
next_word.lower():weer	B-LOC	0.708207
word.wordshape():xxxxxxxx	B-ORG	0.707712
next_word.lower():gain	B-MISC	0.707494
word.lower():dissepie	O	0.705762
next_word.lower():dissepu	O	0.705762
word.suffix3:ies	B-MISC	0.705442
word.suffix2:ôt	B-PER	0.705177
word.lower():grunnens	B-MISC	0.704758
word.lower():rommelpotterij	O	0.70447
next_word.lower():laid	O	0.703229
word.suffix3:vel	B-MISC	0.702137
next_word.lower():tooneel	O	0.702068
word.lower():karstdag	I-MISC	0.701545
word.prefix3:Kar	I-MISC	0.701545
next_word.lower():1917	I-MISC	0.701545
word.lower():kleine	B-ORG	0.701301
next_word.lower():raedschap	B-ORG	0.701301
word.suffix3:ken	I-MISC	0.70114
word.prefix3:Del	B-LOC	0.700961
prev_word.lower():vrou	B-PER	0.700867
word.suffix2:te	B-ORG	0.700512
word.suffix3:ins	O	0.700457
word.suffix2:am	I-PER	0.70035
word.prefix3:Ach	I-PER	0.699832
prev_word.lower():twaide	I-MISC	0.699346
word.lower():dialect	I-MISC	0.698701
word.suffix3:ect	I-MISC	0.698411
word.suffix2:ct	I-MISC	0.698411
word.lower():edna	B-PER	0.698079
word.suffix3:dna	B-PER	0.698079
word.prefix3:Edn	B-PER	0.698079
word.suffix3:elk	O	0.697942
prev_word.lower():roip	B-PER	0.69728
word.suffix3:ARS	B-MISC	0.696492
word.prefix2:Na	B-PER	0.696481
word.lower():nepoleon	B-PER	0.696259
word.prefix3:Nep	B-PER	0.696259
prev_word.lower():sunner	I-PER	0.696081
next_word.lower():is	B-LOC	0.696016
word.prefix2:Lo	B-LOC	0.695848
word.lower():aan	O	0.695733
word.prefix3:hoe	O	0.694043
word.prefix3:Aug	B-MISC	0.693702
word.lower():snie	O	0.693393
word.prefix2:Ac	I-PER	0.693367
word.suffix3:ora	O	0.693278
next_word.lower():die	I-PER	0.693217
word.prefix2:He	I-LOC	0.693172
word.lower():k.	O	0.692875
word.lower():jeruzalem	B-LOC	0.69284
word.prefix3:Jer	B-LOC	0.69284
next_word.lower():raip	B-PER	0.692514
word.suffix3:K.	O	0.692348
word.suffix2:K.	O	0.692348
word.prefix3:K.	O	0.692348
word.prefix2:K.	O	0.692348
prev_word.lower():oost	I-LOC	0.692283
word.prefix2:Aa	B-PER	0.692099
word.lower():schepper	B-PER	0.69197
word.suffix2:op	O	0.691927
word.prefix2:Ek	O	0.691762
word.lower():jongeskweekschoul	I-ORG	0.691693
word.suffix3:ers	I-PER	0.691518
word.suffix2:ch	I-LOC	0.691235
word.lower():isaak	B-PER	0.690257
word.prefix3:Isa	B-PER	0.690257
word.lower():romkegracht	I-LOC	0.690224
word.prefix3:Aov	O	0.690118
word.prefix2:No	B-MISC	0.690015
word.prefix2:op	O	0.689387
word.lower():napoleon	B-PER	0.688801
word.prefix3:Nap	B-PER	0.688801
next_word.lower():òf	B-LOC	0.68873
word.prefix2:19	I-MISC	0.688191
word.prefix2:Me	B-ORG	0.687984
word.wordshape():Xxxxxxxxxxxxxxxxx	I-ORG	0.687838
word.lower():twaide	B-MISC	0.687352
prev_word.lower():dokter	I-LOC	0.687238
word.lower():lainster	B-LOC	0.687003
word.prefix2:Mi	B-LOC	0.686985
next_word.lower():verske	B-MISC	0.686949
word.suffix3:kel	B-LOC	0.686835
word.prefix3:Kok	I-PER	0.686582
word.lower():rostock	B-LOC	0.686461
word.suffix3:ock	B-LOC	0.686461
word.lower():wilhelm	B-ORG	0.686399
next_word.lower():tell	B-ORG	0.686399
word.suffix3:elm	B-ORG	0.686292
word.lower():zeggen	O	0.685842
prev_word.lower():tot	B-LOC	0.685667
word.lower():elioa	B-PER	0.684313
word.suffix3:ioa	B-PER	0.684313
prev_word.lower():d	B-PER	0.684128
word.lower():zoltschepen	I-MISC	0.684058
word.prefix3:Nee	B-MISC	0.683569
word.prefix2:Gr	B-ORG	0.683298
next_word.lower():naor	I-MISC	0.682743
word.suffix3:ord	I-LOC	0.682077
word.prefix3:Dai	I-LOC	0.681753
word.lower():dien	B-LOC	0.681262
next_word.lower():deuper	I-PER	0.681178
word.prefix2:gr	I-MISC	0.681066
word.prefix3:PIN	B-MISC	0.680796
word.lower():appie	B-PER	0.680467
word.lower():sprôt	B-PER	0.680117
word.suffix3:rôt	B-PER	0.680117
